extract,crid
2002,282071
2002,282680
2002,282933
2002,283086
2002,283313
2002,283729
2002,283730
2002,283740
2002,285592
2002,283945
2002,284148
2002,284491
2002,284492
2002,284498
2002,284679
2002,284923
2002,285259
2002,285469
2002,285470
2002,285867
2002,286053
2002,286221
2003,286725
2003,287169
2003,287360
2001,287972
2003,287926
2015,1077320
2003,288519
2003,289170
2003,289400
2003,289405
2003,289408
2003,289415
2003,289416
2003,289622
2003,289749
2003,289894
2003,290103
2003,290538
2003,290742
2003,290748
2003,291138
2003,291327
2003,291486
2016,1080769
2003,291685
2003,291873
2006,1000523
2003,292833
2003,293154
2003,293544
2003,293698
2003,294008
2003,294158
2003,294346
2003,294512
2003,294639
2004,294844
2004,294997
2004,295291
2004,295498
2003,295649
2004,296006
2006,1001881
2004,296195
2004,296358
2004,296359
2004,296362
2004,296572
2004,296974
2004,297121
2004,297759
2004,297897
2004,298157
2004,298315
2005,1003587
2004,298444
2004,298559
2004,298716
2004,298871
2004,299032
2004,299456
2004,300265
2004,300363
2004,300364
2004,300365
2004,300376
2004,300460
2004,300703
2004,300795
2004,300902
2004,301032
2004,301538
2004,301619
2004,301724
2004,301815
2004,302061
2004,302062
2004,302063
2004,302064
2004,302184
2004,302185
2004,302192
2004,302197
2004,302198
2004,302606
2004,302723
2005,302925
2004,303072
2005,303166
2005,303508
2005,303729
2005,303820
2005,304484
2005,304591
2005,304788
2005,304883
2005,305089
2005,305185
2005,305497
2004,305581
2005,305710
2007,1007697
2005,306007
2005,306133
2005,306464
2004,306568
2005,307133
2005,307219
2005,307434
2005,307435
2005,307445
2005,307532
2005,307645
2005,307764
2005,307872
2005,308022
2005,308470
2005,308919
2005,308924
2005,308980
2005,309042
2005,309239
2005,309371
2005,309469
2005,309705
2005,309837
2005,309932
2005,310162
2005,310191
2006,310679
2005,310411
2000,C263997
2006,310514
2002,311495
2007,1010322
2005,310519
2005,310521
2005,310543
2006,310709
2006,310968
2006,311113
2006,311379
2006,312831
2006,312032
2006,312144
1989,C172658
2006,312384
2003,312620
2006,312907
2006,313181
2006,313461
2006,313685
2006,313797
2006,313918
2006,314024
2006,314267
2008,1013354
2006,314372
2006,314494
2006,314722
2006,314891
2006,315003
1989,C171450
1989,C171545
1991,C182607
1991,C189026
1992,C191641
1992,C193145
1992,C196331
1993,C199504
1993,C200925
1993,C202807
1994,C207388
1994,C210824
1994,C212515
1994,C214001
1995,C215529
1995,C217825
1995,C217904
1995,C217935
1995,C217958
1995,C217986
1995,C217997
1995,C217999
1995,C218056
1995,C218085
1995,C218100
1995,C218134
1995,C218220
1995,C219357
1995,C219397
1995,C219427
1995,C219437
1995,C219449
1995,C219452
1995,C219469
1995,C219488
1995,C219494
1995,C219536
1995,C219543
1995,C222967
1996,C228280
1996,C228522
1996,C228964
1996,C229421
1996,C230530
1996,C232231
1996,C232658
1996,C233365
1997,C233523
1997,C234387
1997,C235182
1997,C235263
1997,C235558
1997,C235647
1997,C236571
1997,C238162
1997,C239068
1997,C240666
1997,C240762
1997,C241613
1997,C242184
1997,C242881
1998,C243056
1998,C244995
1998,C245067
1998,C245156
1998,C245660
1998,C245724
1998,C246922
1998,C247562
1998,C247923
1994,C250452
1999,C251061
1999,C251282
1999,C251865
1999,C252308
1999,C252412
1999,C253168
1999,C253269
1999,C253941
1999,C255949
1999,C256821
1999,C257224
1999,C257535
1999,C259242
2000,C260101
2000,C260325
2000,C261056
2000,C262246
2000,C262819
1997,C262853
2000,C264604
2000,C266517
2001,C269046
1981,C119758
1981,C121179
2008,1022744
1982,C123543
1982,C124354
2008,1015201
2003,290390
2010,1036873
2003,293900
2004,298570
2017,1083954
2009,1024146
2009,1024284
2009,1028822
2011,1047051
2011,1050727
2012,1054477
2013,1060943
2013,1061486
2013,1066652
2015,1073558
2015,1078397
2006,1000235
2006,1000239
2016,1080392
2016,1080590
2006,1000671
2006,1001215
2006,1001948
2006,1001949
2006,1001950
2006,1002289
2007,1002664
2007,1002880
2007,1002994
2007,1003928
2007,1003930
2007,1004575
2007,1004803
2007,1004935
2007,1005001
2007,1005006
2007,1005007
2009,1028225
2007,1005011
2007,1005235
2007,1005866
2007,1006685
2007,1007131
2007,1008573
2007,1008649
2007,1008778
2007,1008833
2007,1009436
2007,1009607
2007,1009950
2007,1010321
2007,1010329
2007,1010913
2007,1012616
2007,1012746
2007,1012873
2005,1013781
2008,1013289
2009,1030181
2008,1014200
2008,1014573
2008,1015091
2008,1015139
2008,1015281
2008,1015284
2008,1015285
2008,1015287
2008,1015288
2007,1015289
2008,1015345
2008,1015347
2008,1015349
2008,1015351
2008,1015352
2008,1015353
2008,1015355
2008,1015776
1996,C228034
1996,C228036
1996,C228038
1996,C228039
1996,C228041
1996,C228042
1996,C228044
1996,C228049
1996,C228053
1996,C228054
1996,C228055
1987,C158985
1996,C228056
1996,C228058
1997,C236329
1996,C228060
1996,C228061
1996,C228064
1996,C228067
1996,C228069
1996,C228070
1996,C228071
1996,C228072
1996,C228074
1996,C228075
1996,C228076
1996,C228077
1996,C228080
1996,C228081
1996,C228082
1996,C228086
1996,C228088
1996,C228089
1996,C228090
1996,C228091
1996,C228092
1996,C228093
1996,C228096
1996,C228097
1996,C228098
1996,C228099
1996,C228100
1996,C228101
1996,C228103
1996,C228104
1996,C228105
1996,C228107
1996,C228108
1996,C228109
1996,C228110
1996,C228111
1996,C228113
1996,C228114
1996,C228116
1996,C228117
1996,C228118
1996,C228119
1996,C228120
1996,C228121
1996,C228129
1996,C228130
1996,C228131
1998,C247002
1996,C228133
1996,C228134
1996,C228136
1996,C228137
1996,C228138
1995,C228139
1996,C228140
1996,C228142
1996,C228143
1996,C228144
1996,C228146
1996,C228148
2007,1016138
1996,C228149
1995,C228153
1995,C228154
1996,C228155
1996,C228157
1996,C228158
1996,C228159
1996,C228160
1996,C228161
1996,C228162
1996,C228163
1996,C228164
1996,C228165
1996,C228166
1996,C228167
1996,C228168
1996,C228170
1996,C228171
1996,C228172
1996,C228173
1996,C228175
1996,C228177
1992,C228178
1996,C228179
1996,C228180
1996,C228181
1996,C228183
1996,C228184
1996,C228185
1996,C228186
1996,C228188
1996,C228189
1996,C228190
2000,C264982
1996,C228191
1996,C228193
1996,C228194
1996,C228196
1996,C228197
1996,C228198
1996,C228199
1996,C228200
1996,C228203
1996,C228210
1996,C228211
1996,C228212
1996,C228213
1996,C228214
1996,C228215
1996,C228216
1996,C228217
1996,C228218
1996,C228219
1996,C228221
1996,C228222
1996,C228223
1996,C228226
1996,C228227
1996,C228228
1996,C228229
1996,C228230
1996,C228231
1996,C228232
1996,C228233
1996,C228234
1996,C228235
1996,C228236
1996,C228238
1996,C228239
1996,C228240
1996,C228242
1996,C228243
1996,C228244
1996,C228249
1996,C228250
1996,C228252
1996,C228254
1996,C228257
1996,C228258
1996,C228259
1996,C228261
1996,C228262
1996,C228263
1996,C228264
1996,C228265
1996,C228266
1996,C228267
1996,C228268
1996,C228269
1996,C228270
1996,C228271
1996,C228272
1996,C228273
1996,C228276
1996,C228277
1996,C228278
1996,C228279
1996,C228282
1996,C228283
1997,C241854
1996,C228287
1996,C228288
1996,C228289
1996,C228290
1996,C228293
1996,C228294
1996,C228295
1996,C228297
1996,C228299
1996,C228303
1996,C228304
1996,C228305
1996,C228306
1996,C228307
1996,C228308
1996,C228309
1996,C228310
1996,C228311
1996,C228312
2008,1016194
1996,C228314
1996,C228315
1996,C228318
1996,C228319
1996,C228320
1995,C228323
1995,C228324
1995,C228325
1995,C228327
1996,C229034
1995,C228328
1994,C228329
1997,C247003
1996,C228330
1996,C228331
1996,C228333
1996,C228334
1996,C228335
1996,C228336
1996,C228337
1996,C228339
1996,C228340
1996,C228341
1996,C228342
1996,C228343
1996,C228344
1996,C228345
1996,C228346
1996,C228347
1996,C228348
1996,C228349
1996,C228350
1996,C228351
1996,C228353
1996,C228354
1996,C228356
1996,C228357
1996,C228358
1996,C228359
1999,C253570
1996,C228368
1996,C228370
1996,C228371
1996,C228372
1996,C228376
1996,C228378
1996,C228380
1996,C228382
1996,C228383
1996,C228385
1996,C228386
1996,C228389
1996,C228390
1996,C228392
1996,C228393
1996,C228394
1996,C228395
1996,C228397
1996,C229555
1996,C228399
1996,C228400
1996,C228401
1996,C228402
1996,C228403
1996,C228405
1996,C228407
1996,C228408
1996,C228412
1996,C228413
1996,C228414
1996,C228415
1996,C228416
1996,C228417
1996,C228418
1996,C228419
1996,C228421
1996,C228422
1996,C228424
1996,C228425
1996,C228427
1996,C228431
1996,C228432
1996,C228433
1996,C228434
1996,C228435
1996,C228436
1996,C228437
1996,C228438
1996,C228439
1996,C228440
1996,C228441
1996,C228442
1996,C228444
1996,C228445
1996,C228446
1996,C228448
1996,C228449
1996,C228450
1996,C228451
1996,C228452
1996,C228453
1996,C228454
1996,C228455
1996,C228456
1996,C228457
1996,C228459
1996,C228460
1996,C228461
1996,C228462
1996,C228463
1996,C228464
1996,C228465
1996,C228466
1996,C228467
1996,C228468
1996,C228470
1996,C228471
1996,C228472
1996,C228473
1996,C228474
1996,C228475
1996,C228476
1996,C228477
1996,C228478
1996,C228479
1996,C228480
1996,C228481
1996,C228482
1996,C228483
1996,C228484
1996,C228485
1996,C228486
1996,C228487
1996,C228489
1996,C228490
1996,C228491
1996,C228492
1996,C228493
1996,C228494
1996,C228495
1996,C228496
1996,C228497
1996,C228498
1996,C228499
1996,C228500
1996,C228503
1996,C228505
1996,C228506
1996,C228507
1996,C228508
1996,C228509
1996,C228510
1996,C228511
1996,C228512
1996,C228513
1996,C228514
1996,C228515
1996,C228517
1996,C228518
1996,C228519
1996,C228520
1996,C228521
1996,C228526
1996,C228527
1996,C228528
1996,C228529
1996,C228530
1996,C228531
1996,C228532
1996,C228533
1996,C228534
1996,C228535
1996,C228536
1996,C228538
1996,C228541
1996,C228542
1996,C228543
1996,C228544
1996,C228545
1996,C228546
1996,C228547
1995,C228548
1996,C228549
1996,C228550
1996,C228551
1996,C228553
1996,C228554
1996,C228556
1996,C228558
1996,C228559
1996,C228560
1996,C228561
1995,C228563
1996,C228564
1996,C228565
1996,C228566
1996,C228567
1996,C228568
1996,C228571
1996,C228572
1996,C228573
1996,C228574
1996,C228575
1996,C228576
1996,C228577
1996,C228578
1996,C228579
1996,C228582
1996,C228583
1996,C228585
1996,C228589
1996,C228590
1996,C228591
1996,C228592
1999,C255281
1996,C228598
1996,C228600
1996,C228602
1996,C228603
1996,C228604
1996,C228605
1996,C228606
1996,C228608
1996,C228610
1996,C228611
1996,C228612
1996,C228613
1996,C228614
1996,C228616
1996,C228617
1996,C228618
1996,C228620
1996,C228622
1996,C228623
1996,C228625
1996,C228626
1996,C228628
1996,C228629
1996,C228630
1996,C228631
1996,C228633
1996,C228634
1996,C228635
1996,C228636
1996,C228637
1996,C228638
1996,C228639
1996,C228641
1996,C228642
1996,C228975
1996,C228643
1996,C228644
1996,C228649
1996,C228652
1996,C228653
1996,C228654
1996,C228655
1996,C228656
1996,C228657
1996,C228658
1996,C228659
1996,C228660
1996,C228661
1996,C228663
1996,C228664
1996,C228665
1996,C228666
1996,C228668
1996,C228671
1996,C228672
1996,C228676
1996,C230502
1993,C228677
1996,C228678
1996,C228680
1996,C228681
1996,C228682
1996,C228683
1996,C228686
1996,C228688
1996,C228689
1996,C228693
1996,C228694
1996,C228695
1996,C228696
1996,C228697
1996,C228698
1996,C228699
1996,C228701
1996,C228702
1996,C228703
1996,C228704
1996,C228705
1996,C228708
1996,C228709
1996,C228710
1996,C228711
1996,C228712
1996,C228713
1996,C228714
1996,C228716
1996,C228717
1996,C228718
1996,C228720
1996,C228721
1996,C228723
1996,C228724
1996,C228727
1996,C228728
1996,C228729
1996,C228730
1996,C228731
1996,C228732
1996,C228733
1996,C228734
1996,C228735
1996,C228737
1996,C228738
1996,C228739
2008,1016561
2008,1016562
2008,1016565
2008,1016566
2008,1016571
2007,1016572
1996,C228741
1996,C228742
1996,C228743
1996,C228745
1996,C228746
1996,C228747
1996,C228748
1996,C228749
1996,C228751
1996,C228757
1996,C228758
1996,C228759
1996,C228761
1996,C228764
1996,C228766
1996,C228767
1996,C228768
1996,C229688
1996,C228769
1996,C228771
1996,C228773
1999,C252646
1996,C228775
1996,C228776
1996,C228777
1996,C228778
1996,C228779
1996,C228781
1996,C228783
1996,C228787
1996,C228788
1996,C228789
1996,C228790
1996,C228791
1996,C228792
1996,C228793
1996,C228795
1996,C228799
1996,C228800
1996,C228801
2008,1016559
2008,1016560
2008,1016568
2008,1016569
1996,C228802
1996,C228803
1996,C228804
1996,C228805
1996,C228806
1995,C228807
1995,C228809
1996,C228811
1996,C228812
1996,C228813
1996,C228814
1996,C228819
1996,C228821
1996,C228822
1996,C228823
1996,C228825
1996,C228826
1996,C228827
1996,C228828
1996,C228829
1996,C228831
1996,C228832
1995,C228833
1996,C228834
1996,C228835
1996,C228837
1996,C228838
1996,C228839
1996,C228840
1996,C228841
1996,C228843
1996,C228844
1996,C228845
1996,C228846
1996,C228849
1996,C228850
1995,C228851
1996,C228852
1996,C228853
1996,C228854
1996,C228856
1996,C228857
1996,C228859
1996,C228860
1996,C228861
1996,C228862
1996,C228864
1996,C228866
1996,C228867
1996,C228868
1996,C228869
1996,C228870
1996,C228871
1996,C228872
1996,C228874
1996,C228875
1996,C228876
1996,C228877
1996,C228879
1996,C228880
1996,C228882
1996,C228884
1996,C228885
1996,C228887
1996,C228888
1996,C228889
1996,C228890
1996,C228891
1996,C228892
1996,C228894
1996,C228895
1996,C228896
1996,C228897
1996,C228898
1996,C228899
1996,C228900
1996,C228901
1996,C228903
1996,C228904
1995,C228905
1996,C228906
1996,C228908
1996,C228910
1996,C228911
1996,C228912
1996,C228914
1996,C228915
1996,C228916
1996,C228917
1996,C228925
1996,C228926
1996,C228927
1996,C228928
1996,C228930
1996,C228931
1996,C228932
1996,C228933
1996,C228936
1996,C228937
1996,C228938
1996,C228940
1996,C228942
1996,C228943
1996,C228944
1996,C228945
1996,C228946
1996,C228950
1996,C228953
1996,C228954
1996,C228957
1996,C228958
1996,C228959
1996,C228960
1996,C228962
1996,C228963
1996,C228965
1996,C228967
1996,C228969
1996,C228970
1996,C228971
1996,C228973
1996,C228974
1996,C228976
1996,C228977
1996,C228978
1996,C228979
2008,1016751
1996,C228980
1996,C228981
1996,C228983
1996,C228984
1996,C228985
1996,C228988
1996,C228989
1996,C228990
1996,C228992
1996,C228993
1996,C228994
1996,C228996
1996,C228997
1996,C228999
1996,C229000
1996,C229002
1996,C229004
1996,C229005
1996,C229006
1996,C229008
1996,C229009
1996,C229011
1996,C229012
1996,C229013
1996,C229015
1996,C229016
1996,C229018
1996,C229020
1996,C229022
1996,C229024
1996,C229025
1996,C229026
1996,C229027
1996,C229028
1996,C229029
1996,C229030
1996,C229031
1996,C229032
1994,C229033
1996,C229036
1996,C229037
1996,C229038
1996,C229039
1996,C229040
1996,C229041
1996,C229042
1996,C229044
1996,C229045
1996,C229047
1996,C229048
1996,C229049
1996,C229050
1996,C229051
1996,C229052
1996,C229053
1996,C229054
1996,C229056
1996,C229058
1996,C229062
1996,C229063
1996,C229064
1996,C229066
1996,C229067
1996,C229069
1996,C229070
1996,C229072
1996,C229074
1996,C229075
1996,C229076
1996,C229077
1996,C229078
1996,C229081
1996,C229082
1996,C229083
1996,C229092
1996,C229094
1996,C229096
1996,C229097
1996,C229098
1996,C229099
1996,C229102
1996,C229106
1996,C229111
1996,C229114
1996,C229115
1996,C229117
1996,C229119
1996,C229120
1996,C229121
