id,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,race,gender
33797,,,,,1,0,0,Black,F
33806,,,,,2,0,0,White,M
33823,,,,,1,0,0,Black,F
33830,,,,,2,0,0,Black,F
33819,,,,,2,2,0,Black,F
33832,,,,,1,1,0,Black,M
3798,,0.0000,,,0,0,0,White,M
33060,,0.0000,,,4,1,0,Unknown,""
33051,,0.0000,,,11,3,0,Unknown,""
33732,,,,,3,2,0,White,M
33740,,,,,1,0,0,Black,F
31804,0.0000,53.1682,0.0000,0.0000,1,0,1,Black,F
33733,,,,,1,0,0,White,M
33682,,,,,1,0,0,Black,F
33683,,,,,4,4,0,Black,F
33684,,,,,1,1,0,White,F
33685,,,,,2,2,0,Black,M
33686,,,,,1,1,0,Black,M
33687,,,,,2,1,0,Black,M
33688,,,,,1,1,0,Black,F
33689,,,,,3,3,0,Black,F
33741,,,,,1,1,0,Black,M
33742,,,,,2,2,0,Hispanic,F
33743,,,,,1,1,0,Black,M
33784,,,,,1,1,0,White,M
32536,0.0000,0.0000,0.0000,0.0000,4,0,0,White,M
6233,,0.0000,,,2,1,0,Native American/Alaskan Native,M
33757,,,,,4,2,0,Black,M
8175,32.6854,0.0000,0.0000,0.0000,11,1,1,Hispanic,F
9534,0.0000,39.9161,74.6162,0.0000,10,1,0,Hispanic,M
25219,0.0000,0.0000,89.2357,0.0000,8,2,0,White,F
15636,0.0000,28.6897,0.0000,38.9028,8,4,1,White,F
3613,0.0000,45.2033,0.0000,0.0000,4,1,1,White,F
31793,35.3398,91.3381,76.0763,66.8501,3,1,5,White,M
32527,0.0000,58.0635,98.3730,0.0000,6,3,4,Black,M
4022,0.0000,0.0000,0.0000,0.0000,6,2,1,White,M
33705,,,,,1,1,0,Black,F
33764,,,,,1,1,0,Black,M
33765,,,,,1,1,0,Black,F
33766,,,,,3,2,0,Black,F
33774,,,,,1,1,0,White,M
11888,,0.0000,,,0,0,0,White,M
6533,,0.0000,,,1,0,0,Black,M
32005,29.7987,38.9462,61.1521,0.0000,11,2,3,Black,M
32080,0.0000,57.6641,61.1521,0.0000,5,1,1,Black,M
32188,29.7987,42.6400,61.1521,0.0000,27,4,2,Black,M
33040,24.1180,0.0000,0.0000,0.0000,2,1,0,Unknown,""
28619,,0.0000,,,0,0,0,White,M
24211,,0.0000,,,0,0,0,Black,M
4371,,0.0000,,,1,0,0,White,M
33704,,,,,2,0,0,Black,F
33744,,,,,1,0,0,White,F
33713,,,,,8,0,0,Black,F
33058,,0.0000,,,6,0,0,Unknown,""
32488,,,,,0,0,2,White,M
32728,,,,,0,0,0,Unknown,M
13344,,0.0000,,,0,0,0,White,M
2212,,0.0000,,,0,0,0,White,M
26891,,,,,0,0,0,White,F
24476,,0.0000,,,0,0,0,White,M
20084,,0.0000,,,0,0,0,White,M
2379,,0.0000,,,0,0,0,White,M
20173,,0.0000,,,0,0,0,White,M
30482,0.0000,39.7948,0.0000,0.0000,5,1,0,Black,F
32308,0.0000,55.3935,0.0000,0.0000,2,0,6,Hispanic,F
27908,44.7985,46.9256,77.1572,0.0000,5,0,0,Black,F
2642,0.0000,51.8809,0.0000,0.0000,3,0,2,Black,F
32434,24.1180,61.7266,0.0000,0.0000,2,0,3,Hispanic,M
32263,0.0000,45.2081,74.5515,56.6663,1,0,5,Asian/Pacific,M
32036,0.0000,31.5425,0.0000,0.0000,0,0,6,White,M
