allegation_id,officer_id
C244320,20769
C244383,24562
C244521,26572
C244722,26881
C244781,12375
C244813,30539
C244892,2101
C245180,29673
C245353,16731
C245847,30561
C246107,18063
C246183,21013
C246267,28446
C246504,24425
C246661,6518
C246738,11594
C246870,22866
C246908,27838
C246957,10029
C247077,1235
C247103,16359
C247636,6993
C247954,21499
C248218,26029
C248989,21370
C249186,30104
C249253,30934
C249384,2612
C249573,5766
C249606,78
C249650,31005
C249741,2734
C250007,30543
C250367,28807
C250388,5019
C250557,21314
C250798,27906
C250908,23182
C251361,10389
C251539,1362
C251723,21543
C251749,6373
C251906,23406
C251973,10967
C252245,2418
C252318,6103
C252487,6099
C252808,4733
C252854,15750
C252937,15293
C253480,28278
C253550,26280
C253617,13296
C253701,26682
C253757,8554
C253965,11244
C254046,18720
C254178,24983
C254601,16462
C254662,21095
C254760,10717
C255033,32002
C255062,12103
C255571,1757
C255599,4081
C255717,29841
C256179,9266
C256236,2670
C256258,1210
C256304,15577
C256553,124
C256716,19491
C256871,12013
C256940,11509
C257099,10723
C257242,28159
C257301,2993
C257628,28212
C257751,12216
C258030,7915
C258460,7112
C258498,10367
C258686,7422
C258746,23388
C259072,25860
C259667,6689
C259766,8314
C260261,30196
C260395,16405
C260990,14878
C261301,19555
C261316,28304
C261542,11770
C261708,18847
C261915,16875
C262039,3369
C262307,16055
C262486,5922
C262943,15181
C263265,12626
C263536,10291
C263705,30927
C263914,27166
C263993,7532
C264099,4226
C264252,26136
C264343,27423
C264711,29850
C264848,19910
C265147,31328
C265323,24125
C265670,27248
C266266,1598
C266376,3445
C266685,11817
C267075,1012
C267150,10849
C267240,5448
C267444,30817
C267544,9148
C267647,25491
C267749,4323
C267900,12723
C268544,4807
C269127,10820
259988,4036
260473,31001
261363,16875
262754,17110
262828,10991
262943,15181
263003,23202
263238,3012
263517,8878
264027,4733
264936,29568
266221,30663
267718,13398
268169,14882
268231,7671
268878,19921
270298,7575
270735,11252
1081424,23470
271056,27528
272707,15379
273239,263
273328,31081
274166,9565
274609,20381
275098,12612
275199,31823
275435,19491
275931,22951
276133,29812
276924,20053
277001,4279
277283,25737
277930,31896
278195,15791
279113,6449
279225,14793
279615,28489
279822,7953
280398,26767
281267,29129
281605,24582
283202,6085
283340,9371
283666,982
284166,1335
284407,30423
284468,9328
284811,13528
285184,31999
289284,12013
286175,13706
287888,3439
288820,19836
287167,21430
288060,30293
289963,13141
291980,30841
291308,6797
292092,14622
292436,22848
293072,27544
293402,13725
294122,26808
294265,22755
295536,26482
295850,26692
296181,27893
296555,31717
296955,29374
299037,9634
299658,24869
299903,4495
299944,13872
1013267,8562
301960,13099
305207,7784
304018,192
304622,17338
305115,26616
306455,17530
307180,10863
312409,21890
312759,3900
312988,1721
313406,16544
313624,13933
1002968,22789
314810,18626
1001653,19384
1002025,11469
1002449,16338
1002590,28433
1003014,9115
1003738,2510
1003872,26502
C035735,16796
C050876,21822
C051271,214
C051597,11652
C052045,3089
C052094,13341
C053661,4285
C053661,19865
C054286,22346
C054286,19850
C056104,24182
C058189,4515
C058264,26784
C093392,18456
C100256,26075
C102595,25984
C104195,26900
C106081,26900
C106227,25471
C106520,26900
C107181,2599
C107181,3265
C107181,5801
C108238,22308
C108238,1589
C109162,9713
C109162,1300
C109426,15020
C109485,3372
C111241,3372
C111399,2593
C112002,30144
C112054,28820
C112177,17800
C112244,22847
C112418,29826
C112493,4595
C112493,7707
C112493,14820
C112574,25984
C112713,20444
C112741,25984
C112757,22847
C112898,2408
C112990,23128
C113002,9560
C113002,1755
C113002,17929
C113523,565
C113575,9393
C113739,4595
C113739,7707
C113739,14820
C113743,640
C113744,1790
C113745,18184
C113945,2834
C114259,28820
C114383,16913
C114419,4594
C114473,19772
C115147,27594
C115147,841
1081433,23130
C115182,23712
C115182,29295
C115349,28590
C115349,21961
C115349,30004
C115491,15532
C115491,28374
C115491,13264
C115706,18883
C116173,12942
C116302,12942
C116402,22847
C116420,14438
C116420,28353
C116420,19268
C117026,27195
C118329,15555
C118387,8158
C118400,24733
C118776,14102
